-7.723991, 2.056619, 17.621094, 113, 105, 78, 0.058388
-12.616321, 3.264166, 13.114850, 191, 173, 118, 0.037908
-7.757956, 3.129415, 11.848966, 115, 125, 134, 0.035294
-8.527927, -1.319402, 12.338044, 126, 127, 121, 0.652288
-9.251057, 3.281482, 10.298496, 118, 120, 116, 0.045378
-10.241376, 3.238844, 8.357235, 65, 77, 91, 0.039216
-9.336792, 3.500133, 10.056994, 124, 122, 120, 0.037255
-15.595204, 3.381368, 14.256196, 172, 169, 153, 0.039216
-10.316686, 3.186753, 16.386885, 201, 200, 182, 0.047059
-7.074880, 3.154066, 11.538330, 106, 118, 132, 0.040196
-5.714920, 3.355434, 13.952084, 89, 72, 57, 0.040523
-7.873481, 3.016530, 11.950732, 95, 102, 106, 0.045938
-7.952191, 3.064443, 12.060571, 95, 102, 106, 0.048039
-10.654973, 3.303637, 13.451364, 186, 171, 143, 0.057255
-7.467012, 3.167109, 11.793035, 102, 114, 127, 0.033987
-7.467012, 3.167109, 11.793035, 102, 114, 127, 0.033987
-13.206871, -4.292421, 17.564264, 103, 104, 102, 0.652288
-6.039249, 2.463257, 16.426709, 33, 25, 14, 0.033987
-7.869802, 2.494278, 11.969311, 96, 97, 93, 0.046078
-5.899292, 2.606526, 15.773065, 121, 105, 73, 0.027451
-11.496979, 3.078020, 13.830379, 136, 125, 97, 0.050980
-8.263547, 2.916835, 12.119772, 188, 190, 179, 0.046275
-7.525089, 3.196029, 11.677860, 89, 101, 113, 0.035294
-16.971389, 3.265139, 17.464186, 193, 184, 148, 0.031373
-12.234987, -1.008429, 10.636045, 70, 57, 41, 0.633987
-8.136542, 3.274419, 9.206406, 88, 82, 74, 0.031373
-6.929221, 2.014575, 11.048445, 220, 223, 212, 0.031373
-10.009658, 3.296283, 10.761030, 204, 182, 140, 0.028431
-11.526015, 3.103017, 14.912741, 187, 174, 144, 0.058824
-13.637029, 3.007543, 17.799543, 216, 218, 203, 0.078431
-6.266474, 3.157694, 15.785479, 176, 149, 107, 0.037908
-6.266474, 3.157694, 15.785479, 176, 149, 107, 0.037908
-7.442927, 3.269037, 11.929909, 103, 113, 123, 0.066667
-11.201370, 3.148082, 15.254441, 153, 132, 99, 0.026667
-11.301826, -0.420985, 11.628037, 142, 147, 140, 0.640523
-12.865927, 3.103662, 16.902214, 56, 63, 70, 0.082353
-10.477860, 3.211555, 14.094773, 197, 180, 149, 0.085621
-16.868851, 3.193904, 16.978344, 195, 183, 140, 0.035854
-7.583104, 1.547794, 17.741846, 21, 22, 15, 0.031373
-12.240366, 2.919342, 15.652825, 60, 61, 53, 0.061840
-7.822410, 3.270704, 9.129807, 132, 128, 121, 0.043137
-11.024161, 3.246640, 14.015087, 166, 151, 123, 0.052288
-10.789083, 3.183077, 13.764728, 166, 151, 123, 0.050000
-5.086513, 3.354983, 13.160633, 69, 62, 54, 0.031373
-10.008020, 2.688119, 18.308738, 103, 95, 75, 0.040196
-7.747698, -1.962365, 14.217454, 108, 110, 104, 0.600980
-14.500348, -0.678049, 16.108845, 76, 61, 45, 0.644118
-7.972306, 3.065052, 17.412828, 68, 54, 34, 0.035294
-9.119043, 3.340608, 9.945270, 110, 103, 87, 0.041457
-10.990115, 3.310866, 9.371800, 108, 114, 114, 0.051961
-10.057852, 3.297208, 13.906658, 149, 131, 105, 0.056209
-5.680235, 3.321184, 13.448652, 133, 140, 145, 0.024837
-26.638721, 3.345915, 25.107745, 80, 100, 123, 0.048366
-7.720449, 3.156982, 11.950227, 128, 138, 145, 0.053595
-7.797374, 2.399716, 11.871425, 116, 119, 118, 0.037255
